title,vqq_score,need_vip,cast,play_amt,vqq_play_link,img_link
从海底出击,9.3,True,主演：约尔根·普罗赫诺 赫贝特·格勒内梅厄,1513万,"<a href=""https://v.qq.com/x/cover/cdxaupbev787upa.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/cdxaupbev787upa1526283764/220"">"
将军号,9.3,True,主演：巴斯特·基顿 玛丽昂·马克 格伦·卡文德 吉姆·法利,646万,"<a href=""https://v.qq.com/x/cover/7j7bhrwjsj5w45b.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/7j7bhrwjsj5w45b1529048938/220"">"
飞屋环游记,9.3,True,老人用真爱创造奇迹,3229万,"<a href=""https://v.qq.com/x/cover/w9gk2xdkyvez6yp.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/w9gk2xdkyvez6yp1508837054/220"">"
指环王1：护戒使者,9.3,True,主演：伊利亚·伍德 伊恩·麦克莱恩 维果·莫特森 西恩·奥斯汀 肖恩·宾,2655万,"<a href=""https://v.qq.com/x/cover/5jnb4fae4hzic9g.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/5jnb4fae4hzic9g1559817344/220"">"
小森林 冬春篇,9.3,True,主演：桥本爱 桐岛加恋,6873万,"<a href=""https://v.qq.com/x/cover/1o7ou00t80apgko.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/1o7ou00t80apgko1554699272/220"">"
当幸福来敲门,9.3,True,主演：威尔·史密斯 贾登·史密斯 桑迪·牛顿,4336万,"<a href=""https://v.qq.com/x/cover/vbr7hkoebjpsrxb.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/vbr7hkoebjpsrxb1523424022/220"">"
少年派的奇幻漂流,9.3,True,主演：苏拉·沙玛 伊尔凡·可汗 杰拉尔·德帕迪约 阿迪尔·胡山 拉菲·斯波 塔布,3636万,"<a href=""https://v.qq.com/x/cover/phncvm1ns0sygig.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/phncvm1ns0sygigt1444953208.jpg/220"">"
指环王2：双塔奇兵,9.3,True,主演：伊利亚·伍德 维果·莫特森 伊恩·麦克莱恩 凯特·布兰切特 奥兰多·布鲁姆 克里斯托弗·李,1269万,"<a href=""https://v.qq.com/x/cover/e2rt42iw6cv1ndq.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/e2rt42iw6cv1ndqt1444822549.jpg/220"">"
我爱你,9.3,True,主演：宋在浩 李顺载 尹秀晶 金秀美,2036万,"<a href=""https://v.qq.com/x/cover/6yyurkhdbqna5px.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/6yyurkhdbqna5px1550718785/220"">"
横空出世,9.3,True,主演：高明 李雪健 李幼斌,790万,"<a href=""https://v.qq.com/x/cover/wpgo4u4aiui4wru.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/wpgo4u4aiui4wru1530503725/220"">"
与恐龙同行,9.3,True,主演：查理·罗 Angourie Rice,4088万,"<a href=""https://v.qq.com/x/cover/42x9x33lueay91y.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/42x9x33lueay91yt1471573807.jpg/220"">"
城市之光,9.3,True,主演：查理·卓别林 弗吉尼亚·切瑞尔 佛罗伦斯·李 亨利·伯格曼,217万,"<a href=""https://v.qq.com/x/cover/b48c3tz58gusw8r.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/b48c3tz58gusw8r1524729224/220"">"
哈利·波特与魔法石,9.3,True,主演：丹尼尔·雷德克里夫 艾玛·沃特森 鲁伯特·格林特 理查德·哈里斯 玛吉·史密斯 罗彼·考特拉尼 艾伦·里克曼,8324万,"<a href=""https://v.qq.com/x/cover/pb69zpzabgg1t7n.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/pb69zpzabgg1t7n1559743055/220"">"
完美的世界,9.3,True,主演：凯文·科斯特纳 克林特·伊斯特伍德,724万,"<a href=""https://v.qq.com/x/cover/68m6s2drn3o4bjz.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/68m6s2drn3o4bjzt1444738763.jpg/220"">"
生活多美好,9.3,True,主演：詹姆斯·斯图尔特 唐娜·里德 莱昂纳尔·巴里摩尔 托马斯·米切尔,146万,"<a href=""https://v.qq.com/x/cover/4nykax6327kt6sw.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/4nykax6327kt6sw1538984136/220"">"
怦然心动,9.3,True,主演：玛德琳·卡罗尔 卡兰·麦克奥利菲 艾丹·奎因 瑞贝卡·德·莫妮 安东尼·爱德华兹,6444万,"<a href=""https://v.qq.com/x/cover/997m2fipgc6erv7.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/997m2fipgc6erv71559745678/220"">"
海豚湾,9.3,True,主演：里克·奥巴瑞 路易·西霍尤斯 海顿·潘妮蒂尔,3035万,"<a href=""https://v.qq.com/x/cover/1fl91giyegazfl4.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/1fl91giyegazfl4t1444800261.jpg/220"">"
家园,9.3,True,主演：格伦·克洛斯,2592万,"<a href=""https://v.qq.com/x/cover/xvgy9ay5loiijot.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/xvgy9ay5loiijott1444938280.jpg/220"">"
小鞋子,9.3,True,主演：穆罕默得·阿米尔·纳吉 阿米尔法·罗克·哈什米安 巴哈丽·西迪奇 Nafise Jafar Mohammadi,6329万,"<a href=""https://v.qq.com/x/cover/ab66o4bl2p67wv7.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/ab66o4bl2p67wv7t1444782362.jpg/220"">"
蜘蛛侠：平行宇宙,9.3,True,黑人小蜘蛛首现大银幕,8935万,"<a href=""https://v.qq.com/x/cover/6xzlbrzswkuo3wq.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/6xzlbrzswkuo3wq1559288141/220"">"
摩登时代,9.3,True,主演：查理·卓别林 宝莲·高黛 亨利·伯格曼,709万,"<a href=""https://v.qq.com/x/cover/9w35g1rr7w3smmr.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/9w35g1rr7w3smmrt1444777969.jpg/220"">"
楚门的世界,9.3,True,主演：金·凯瑞 劳拉·琳妮 艾德·哈里斯 诺亚·艾默里奇 娜塔莎· 麦克艾霍恩,1320万,"<a href=""https://v.qq.com/x/cover/31082i4u5ovkrl0.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/31082i4u5ovkrl0t1444817423.jpg/220"">"
永远的车神,9.3,True,主演：艾尔顿·塞纳 迈克尔·舒马赫,525万,"<a href=""https://v.qq.com/x/cover/q7u5hqwocx9l553.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/q7u5hqwocx9l553t1444960824.jpg/220"">"
无人知晓,9.3,True,主演：柳乐优弥 北浦爱 木村飞影 清水萌萌子,2235万,"<a href=""https://v.qq.com/x/cover/ztrkpnw1mdnc220.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/ztrkpnw1mdnc220t1464735749.jpg/220"">"
看不见的客人,9.2,True,主演：马里奥·卡萨斯 芭芭拉·蓝妮 法兰西斯克·欧瑞拉 阿娜·瓦格纳 何塞·卡罗纳多,2亿,"<a href=""https://v.qq.com/x/cover/8lvnb7aiio1crpd.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/8lvnb7aiio1crpd1559732690/220"">"
世上最快的印地安摩托,9.2,True,主演：安东尼·霍普金斯 戴安·拉德 沃特·戈金斯 杰西卡·卡普肖 克里斯·威廉斯,31万,"<a href=""https://v.qq.com/x/cover/f0t4ai9l0dhnaqz.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/f0t4ai9l0dhnaqzt1444832806.jpg/220"">"
驯龙高手,9.2,True,书呆男也有春天,3604万,"<a href=""https://v.qq.com/x/cover/3imeqzq7nzw130g.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/3imeqzq7nzw130g1559732991/220"">"
心灵捕手,9.2,True,主演：明妮·德里弗 马特·达蒙 罗宾·威廉姆斯 本·阿弗莱克 斯特兰·斯卡斯加德,2677万,"<a href=""https://v.qq.com/x/cover/mhl665xf8ina3t2.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/mhl665xf8ina3t2t1444921603.jpg/220"">"
纵横四海,9.2,True,主演：周润发 张国荣 钟楚红 朱江 曾江,8422万,"<a href=""https://v.qq.com/x/cover/x7dra43dggxthim.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/x7dra43dggxthimt1454551223.jpg/220"">"
玩具总动员3,9.2,True,温情无限，童年再见,1989万,"<a href=""https://v.qq.com/x/cover/cezngt65nqkg580.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/cezngt65nqkg5801523438533/220"">"
小偷家族,9.2,True,主演：中川雅也 安藤樱 松冈茉优 池松壮亮 树木希林 城桧吏,9185万,"<a href=""https://v.qq.com/x/cover/xuy45yvwdgajywr.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/xuy45yvwdgajywr1534475242/220"">"
七宗罪,9.2,True,主演：布拉德·皮特 摩根·弗里曼 格温妮斯·帕特洛 凯文·史派西 R·李·艾尔米,1872万,"<a href=""https://v.qq.com/x/cover/zg7bhyyc1ffeha0.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/zg7bhyyc1ffeha0t1444954977.jpg/220"">"
头号玩家,9.2,True,主演：泰尔·谢里丹 奥利维亚·库克 本·门德尔森 马克·里朗斯,4亿,"<a href=""https://v.qq.com/x/cover/zatx0zuk94d9aru.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/zatx0zuk94d9aru1529910323/220"">"
荒蛮故事,9.2,True,主演：里卡杜·达林 艾丽卡·里瓦斯 达里奥·葛兰帝内提 莱昂纳多·斯巴拉格利亚 奥斯卡·马丁内兹 朱丽叶塔·佐柏伯格 丽塔·科特塞,3248万,"<a href=""https://v.qq.com/x/cover/jbj176n5lxqxcy7.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/jbj176n5lxqxcy7t1444887930.jpg/220"">"
蝴蝶效应,9.2,True,主演：阿什顿·库彻 艾米·斯马特 约翰·帕特里克·阿梅多利 罗根·勒曼,2957万,"<a href=""https://v.qq.com/x/cover/porrg8osobrmvs8.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/porrg8osobrmvs8t1444955274.jpg/220"">"
阿凡达,9.2,True,主演：萨姆·沃辛顿 佐伊·索尔达娜 西格妮·韦弗 史蒂芬·朗,8671万,"<a href=""https://v.qq.com/x/cover/ldl1811bamppdrd.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/ldl1811bamppdrd1559135072/220"">"
猫鼠游戏,9.2,True,主演：莱昂纳多·迪卡普里奥 汤姆·汉克斯 克里斯托弗·沃肯 马丁·辛 娜塔莉·贝伊,5059万,"<a href=""https://v.qq.com/x/cover/wtwpu1rqpe427mw.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/wtwpu1rqpe427mw1523498196/220"">"
v字仇杀队,9.2,True,主演：娜塔莉·波特曼 雨果·维文 斯蒂芬·瑞 斯蒂芬·弗雷 约翰·赫特,4800万,"<a href=""https://v.qq.com/x/cover/w7hkwrou304fmze.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/w7hkwrou304fmzet1444921292.jpg/220"">"
非洲猫科,9.2,True,主演：塞缪尔·杰克逊,409万,"<a href=""https://v.qq.com/x/cover/zjl1ln0ipai6zfs.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/zjl1ln0ipai6zfs1524139179/220"">"
让子弹飞,9.2,True,主演：姜文 葛优 周润发 廖凡 邵兵,9089万,"<a href=""https://v.qq.com/x/cover/rzpyce9pmxayzvb.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/rzpyce9pmxayzvb1559738872/220"">"
我是山姆,9.2,True,主演：西恩·潘 达科塔·范宁 米歇尔·菲佛,2279万,"<a href=""https://v.qq.com/x/cover/vox06nwx47wuy5t.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/vox06nwx47wuy5t1523599562/220"">"
被嫌弃的松子的一生,9.2,True,主演：中谷美纪 瑛太 香川照之 市川实日子 剧团一人,4169万,"<a href=""https://v.qq.com/x/cover/2xxvt9eg1d231wv.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/2xxvt9eg1d231wvt1475652612.jpg/220"">"
血战钢锯岭,9.2,False,主演：安德鲁·加菲尔德 萨姆·沃辛顿 文斯·沃恩 雨果·维文,2亿,"<a href=""https://v.qq.com/x/cover/jm7ingmp113qaqu.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/jm7ingmp113qaqu1491878970/220"">"
听见天堂,9.2,True,主演：Luca Capriotti Francesco Campobasso 马可·科奇 Patrizia La Fonte,80万,"<a href=""https://v.qq.com/x/cover/p4dfeayjexs8ada.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/p4dfeayjexs8adat1444949398.jpg/220"">"
二十二,9.2,False,国内首部“慰安妇”题材纪录电影,7294万,"<a href=""https://v.qq.com/x/cover/vfx3eugf3h4jiqg.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/vfx3eugf3h4jiqg1503023765/220"">"
黑客帝国,9.2,True,主演：基努·里维斯 凯瑞·安·莫斯 劳伦斯·菲什伯恩,2442万,"<a href=""https://v.qq.com/x/cover/mpy4fba3x6puvfy.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/mpy4fba3x6puvfyt1444923985.jpg/220"">"
罗马假日,9.2,True,主演：奥黛丽·赫本 格利高里·派克 埃迪·艾伯特 哈特利·鲍尔,1118万,"<a href=""https://v.qq.com/x/cover/4nxabytt44ngpry.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/4nxabytt44ngpry1550733177/220"">"
拯救大兵瑞恩,9.2,True,主演：汤姆·汉克斯 马特·达蒙 汤姆·塞兹摩尔,2396万,"<a href=""https://v.qq.com/x/cover/8lv03zh9yuhm1a2.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/8lv03zh9yuhm1a21559834859/220"">"
穿条纹睡衣的男孩,9.2,True,主演：大卫·休里斯 维拉·法梅加 鲁伯特·弗兰德 阿沙·巴特菲尔德 杰克·塞隆,1325万,"<a href=""https://v.qq.com/x/cover/k2zh09k7oid23o0.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/k2zh09k7oid23o0t1444896126.jpg/220"">"
美丽心灵,9.2,False,主演：罗素·克劳 詹妮弗·康纳利 艾德·哈里斯 克里斯托弗·普卢默 保罗·贝坦尼,489万,"<a href=""https://v.qq.com/x/cover/le1y6ytqnnd2ua2.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/le1y6ytqnnd2ua2t1444909853.jpg/220"">"
花为媒,9.2,True,主演：新凤霞 李忆兰 杜宝宇 张德福,220万,"<a href=""https://v.qq.com/x/cover/c51cf3m9qmjg9mg.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/c51cf3m9qmjg9mg1550563674/220"">"
微观世界,9.2,True,主演：雅克·贝汉 克里斯汀·斯科特·托马斯,33万,"<a href=""https://v.qq.com/x/cover/mhtvop4w9dlw2u1.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/mhtvop4w9dlw2u11550803909/220"">"
迁徙的鸟,9.2,True,主演：雅克·贝汉,77万,"<a href=""https://v.qq.com/x/cover/46sb6j1t81unu2y.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/46sb6j1t81unu2yt1463560339.jpg/220"">"
北极故事,9.2,True,主演：普雷斯顿·贝里 奎恩·拉提法,535万,"<a href=""https://v.qq.com/x/cover/z83dqkoa0ubhe4y.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/z83dqkoa0ubhe4y1526453274/220"">"
霸王别姬(京剧),9.2,True,主演：尚长荣 史依弘 蓝天 李军,272万,"<a href=""https://v.qq.com/x/cover/45cf6kr56u1sfob.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/45cf6kr56u1sfobt1444829497.jpg/220"">"
切腹,9.2,True,主演：仲代达矢 石浜朗 岩下志麻 丹波哲郎 三国连太郎,171万,"<a href=""https://v.qq.com/x/cover/isjvyveq575c35h.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/isjvyveq575c35h1550565073/220"">"
天国王朝,9.2,True,主演：奥兰多·布鲁姆 伊娃·格林 爱德华·诺顿 连姆·尼森,3601万,"<a href=""https://v.qq.com/x/cover/3wl9mtjpoo0vpjs.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/3wl9mtjpoo0vpjs1524920388/220"">"
七武士,9.2,True,主演：三船敏郎 志村乔 稻叶义男 津岛惠子 加东大介,1263万,"<a href=""https://v.qq.com/x/cover/3pivbj7bkp6zcr6.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/3pivbj7bkp6zcr61508397829/220"">"
